Number,Title,URL,Date
1,Kennesaw State and Fukuoka University sign agreement to expand global fintech education,https://www.kennesaw.edu/coles/news/stories/2025-08-28-kennesaw-state-and-fukuoka-university-sign-agreement-to-expand-global-fintech-education.php,"August 28, 2025"
2,"Kennesaw State coach Jerry Mack embraces relationships, community as KSU football enters new era",https://www.kennesaw.edu/news/stories/2025/coach-embraces-community-ksu-football-enters-new-era.php,"August 28, 2025"
3,"Kennesaw State lab serves as hub for undergraduate research, scholarship",https://www.kennesaw.edu/news/stories/2025/andrew-haddow-lab-serves-hub-undergraduate-research.php,"August 27, 2025"
4,Kennesaw State passes SACSCOC Fifth-Year Interim Review,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-passes-sacscoc-fifth-year-interim-review.php,"August 26, 2025"
5,Kennesaw State program earns 2025 Regents' Award,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-program-earns-2025-regents-award.php,"August 26, 2025"
6,Kennesaw State researcher taps engineering background to discover solutions for stomach diseases,https://www.kennesaw.edu/news/stories/2025/researcher-taps-engineering-discover-solutions-stomach-diseases.php,"August 25, 2025"
7,AI expert Kathy Pham speaking at Kennesaw State to begin Presidential Lecture Series,https://www.kennesaw.edu/news/stories/2025/ksu-presidential-lecture-series-ai-expert-kathy-pham.php,"August 25, 2025"
8,Kennesaw State University recognized as Military Support College of Distinction,https://www.kennesaw.edu/news/stories/2025/ksu-recognized-military-support-college-distinction.php,"August 22, 2025"
9,Kennesaw State trio spend summer interning at Air Force Research Lab,https://www.kennesaw.edu/news/stories/2025/ksu-trio-summer-interning-air-force-research-lab.php,"August 21, 2025"
10,Kennesaw State student earns competitive internship with NBC's Today Show,https://www.kennesaw.edu/news/stories/2025/student-earns-competitive-internship-nbc-today-show.php,"August 20, 2025"
1,"Kennesaw State, Walens Family Announce Fifth Third Stadium Field Naming Partnership",https://ksuowls.com/news/2025/8/19/football-kennesaw-state-walens-family-announce-fifth-third-stadium-field-naming-partnership-halftime-ceremony.aspx,"August 19, 2025"
2,Kennesaw State associate professor appointed to national mathematics education commission,https://www.kennesaw.edu/news/stories/2025/associate-professor-appointed-national-mathematics-education-commission.php,"August 19, 2025"
3,"Kennesaw State researchers create low-cost system to monitor dams, prevent floods",https://www.kennesaw.edu/news/stories/2025/researchers-create-low-cost-system-monitor-dams.php,"August 18, 2025"
4,Dr. Luc Guglielmi appointed to full-time ombuds role at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/luc-guglielmi-appointed-full-time-ombuds-kennesaw-state.php,"August 14, 2025"
5,Kennesaw State economic impact on the rise to $2.3 billion,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-economic-impact-2.3-billion.php,"August 14, 2025"
6,Kennesaw State's MOVE Center aims to redefine the future of human mobility,https://www.kennesaw.edu/news/stories/2025/move-center-aims-to-redefine-future-of-human-mobility.php,"August 13, 2025"
7,Kennesaw State and VyStar Credit Union announce partnership and arena naming,https://ksuowls.com/news/2025/8/12/general-kennesaw-state-and-vystar-credit-union-announce-partnership-and-arena-naming.aspx,"August 12, 2025"
8,Kennesaw State student helps develop new index for cancer treatment time costs,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-student-helps-develop-new-index-for-cancer-treatment-time-costs.php,"August 11, 2025"
9,Kennesaw State physics professor receives grant to help create precise simulations for particle colliders,https://www.kennesaw.edu/news/stories/2025/physics-professor-receives-grant-simulations-particle-colliders.php,"August 08, 2025"
10,"From criminology to the classroom, Kennesaw State graduate finds purpose in special education",https://www.kennesaw.edu/news/stories/2025/ksu-student-finds-purpose-in-special-education.php,"August 07, 2025"
1,Kennesaw State's Owl Cyber Team earns top finish in national cybersecurity competition,https://www.kennesaw.edu/news/stories/2025/owlcyberteamearnstopfinishinnationalcybersecurity.php,"August 06, 2025"
2,National publication recognizes Kennesaw State with Excellence in Mental Health and Well-Being Award,https://www.kennesaw.edu/news/stories/2025/publication-recognizes-ksu-excellence-mental-health-well-being-award.php,"August 05, 2025"
3,Kennesaw State researchers examine how parents navigate children's smartphone use,https://www.kennesaw.edu/news/stories/2025/ksu-researchers-examine-parents-navigate-children-smartphone-use.php,"August 04, 2025"
4,"Kennesaw State launches Center for Interactive Media to drive innovation in VR, gaming, and digital storytelling",https://www.kennesaw.edu/news/stories/2025/center-interactive-media-drive-innovation-vr-gaming-storytelling.php,"August 01, 2025"
5,Kennesaw State alumna to compete in international Deaflympics games in Tokyo,https://www.kennesaw.edu/news/stories/2025/ksu-alum-compete-international-deaflympics-games-tokyo.php,"July 31, 2025"
6,Kennesaw State nurses excel on the front lines and at home,https://www.kennesaw.edu/news/stories/2025/nurses-excel-on-front-lines-and-at-home.php,"July 30, 2025"
7,Kennesaw State graduates earn international recognition for award-winning architectural drawing,https://www.kennesaw.edu/news/stories/2025/graduates-earn-international-recognition-award-winning-architectural-drawing.php,"July 29, 2025"
8,Student's CrossFit passion leads to breakthrough research at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/crossfit-passion-leads-to-breakthrough-research-ksu.php,"July 28, 2025"
9,Kennesaw State student and faculty use supercomputing to advance Alzheimer's drug research,https://www.kennesaw.edu/news/stories/2025/student-and-faculty-use-supercomputing-advance-alzheimers-drug-research.php,"July 25, 2025"
10,KSU student working to address challenges with elder care,https://www.kennesaw.edu/news/stories/2025/ksu-student-working-address-challenges-elder-care.php,"July 24, 2025"
1,Kennesaw State student researcher streamlining manufacturing automation through digital twin technology,https://www.kennesaw.edu/news/stories/2025/student-researchers-streamlining-manufacturing-digital-twin-technology.php,"July 23, 2025"
2,Discovery courses provide hands-on experiences for Kennesaw State Honors students,https://www.kennesaw.edu/news/stories/2025/discovery-courses-provide-hands-on-experience-honors-students.php,"July 22, 2025"
3,Kennesaw State student's research aims to create more confident math teachers,https://www.kennesaw.edu/news/stories/2025/student-research-aims-to-create-confident-math-teachers.php,"July 21, 2025"
4,Double Owl Pathways propels Kennesaw State student toward recognition in neuroscience research,https://www.kennesaw.edu/news/stories/2025/double-owl-pathways-propels-student-recognition-neuroscience-research.php,"July 18, 2025"
5,KSU student developing stroke-screening tool for children with sickle cell ,https://www.kennesaw.edu/news/stories/2025/student-stroke-screening-tool-for-children-with-sickle-cell.php,"July 17, 2025"
6,Kennesaw State associate professor honored with national award for excellence in engineering education,https://www.kennesaw.edu/news/stories/2025/national-award-excellence-engineering-education.php,"July 16, 2025"
7,Kennesaw State professor planting knowledge with his latest research,https://www.kennesaw.edu/news/stories/2025/professor-planting-knowledge-with-latest-research.php,"July 15, 2025"
8,Kennesaw State business students to benefit from the Madhuri and Jagdish N. Sheth Marketing Scholarship,https://www.kennesaw.edu/news/stories/2025/business-students-to-benefit-marketing-scholarship.php,"July 14, 2025"
9,Five recent Kennesaw State physics graduates to pursue doctoral studies,https://www.kennesaw.edu/news/stories/2025/five-recent-ksu-physics-graduates-pursue-doctoral-studies.php,"July 11, 2025"
10,"Kennesaw State researcher nominated to NSF center, wins American Chemical Society Petroleum Research Funds award",https://www.kennesaw.edu/news/stories/2025/researcher-award-american-chemical-society-petroleum-research-funds.php,"July 10, 2025"
1,Kennesaw State student selected for Georgia's American Society of Civil Engineers Student of the Year award,https://www.kennesaw.edu/news/stories/2025/student-selected-georgia-america-society-civil-engineers-award.php,"July 09, 2025"
2,Kennesaw State computer game design and development students turn stargazing into interactive learning,https://www.kennesaw.edu/news/stories/2025/game-design-students-turn-stargazing-interactive-learning.php,"July 08, 2025"
3,KSU researcher's exceptional mentorship prioritizes students first,https://www.kennesaw.edu/research/news/2025-undergraduate-research-mentor-award.php,"July 07, 2025"
4,Kennesaw State student working to simplify cardiovascular disease detection,https://www.kennesaw.edu/news/stories/2025/ksu-student-works-to-simplify-cardiovascular-disease-detection.php,"July 03, 2025"
5,Kennesaw State certification programs broaden reach of professional education,https://www.kennesaw.edu/news/stories/2025/ksu-certification-programs-broaden-reach-of-professional-education.php,"July 02, 2025"
6,Student-staffed marketing firm raising success of real-world clients,https://www.kennesaw.edu/news/stories/2025/ksu-student-staffed-marketing-raising-success-of-clients.php,"July 01, 2025"
7,Kennesaw State steel bridge team wins award for ingenuity in national competition,https://www.kennesaw.edu/news/stories/2025/steel-bridge-team-wins-award-ingenuity-national-competition.php,"June 30, 2025"
8,Kennesaw State expands support for student-parents through new grants,https://www.kennesaw.edu/news/stories/2025/ksu-expands-support-student-parents-through-new-grants.php,"June 30, 2025"
9,Kennesaw State professor inducted as International Organization for Physical Education in Higher Education fellow,https://www.kennesaw.edu/news/stories/2025/professor-inducted-international-organization-physical-education-fellow.php,"June 27, 2025"
10,KSU project designing automated exoskeleton to aid stroke victims,https://www.kennesaw.edu/news/stories/2025/ksu-project-designing-exoskeleton-aid-stroke-victims.php,"June 26, 2025"
1,Kennesaw State assistant professor named 2025 AIA Georgia Educator of the Year,https://www.kennesaw.edu/news/stories/2025/assistant-professor-named-aia-georgia-educator-of-year.php,"June 25, 2025"
2,Kennesaw State public health students win gold designation at national competition,https://www.kennesaw.edu/news/stories/2025/public-health-students-win-gold-designation-national-competititon.php,"June 24, 2025"
3,KSU researcher awarded prestigious NSF Medium Grant to advance balance technologies in VR,https://www.kennesaw.edu/news/stories/2025/researcher-awarded-grant-advance-balance-technologies-virtual-reality.php,"June 23, 2025"
4,Kennesaw State researchers developing AI-powered drones to protect peanut farms from wildlife,https://www.kennesaw.edu/news/stories/2025/researchers-developing-ai-powered-drones-protect-peanut-farms.php,"June 20, 2025"
5,Kennesaw State alumna triumphs through adversity to inspire as Gwinnett County educator,https://www.kennesaw.edu/news/stories/2025/alumna-triumphs-adversity-inspire-gwinnett-educator.php,"June 18, 2025"
6,Kennesaw State alumni awarded prestigious Fulbright scholarships,https://www.kennesaw.edu/news/stories/2025/ksu-alumni-awarded-fulbright-scholarships.php,"June 17, 2025"
7,Kennesaw State physics professor receives Department of Energy grant to explore light-matter interactions in quantum materials,https://www.kennesaw.edu/news/stories/2025/physics-grant-light-matter-interactions-quantum-materials.php,"June 13, 2025"
8,Triplets each find their own path to success at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/triplets-find-path-to-success-at-ksu.php,"June 12, 2025"
9,Kennesaw State architecture students bring eco-centered design to global stage in Italy,https://www.kennesaw.edu/news/stories/2025/architecture-students-eco-centered-design-italy.php,"June 11, 2025"
10,Kennesaw State educator brings industry experience to the classroom,https://www.kennesaw.edu/news/stories/2025/educator-brings-industry-experience-to-classroom.php,"June 10, 2025"
1,Kennesaw State student draws on personal experience in graduate program,https://www.kennesaw.edu/news/stories/2025/student-draws-on-personal-experience-graduate-program.php,"June 09, 2025"
2,Growth fuels passion for Kennesaw State master's graduate,https://www.kennesaw.edu/news/stories/2025/growth-fuels-passion-for-ksu-masters-graduate.php,"June 06, 2025"
3,Kennesaw State public health grad seeks to make a difference,https://www.kennesaw.edu/news/stories/2025/public-health-grad-seeks-make-a-difference.php,"June 05, 2025"
4,"Kennesaw State professor uses speed, crash data to better understand how to protect school children ",https://www.kennesaw.edu/news/stories/2025/ksu-professor-speed-crash-data-protect-school-children.php,"June 04, 2025"
5,Kennesaw State students with Center for Sustainable Journalism hit the ground reporting,https://www.kennesaw.edu/news/stories/2025/ksu-students-center-for-sustainable-journalism-reporting.php,"June 03, 2025"
6,Kennesaw State student secures prestigious VICEROY Maven internship,https://www.kennesaw.edu/news/stories/2025/student-secures-viceroy-maven-internship.php,"June 02, 2025"
7,KSU Game Studio levels up with new release,https://www.kennesaw.edu/research/news/posts/chiba-launch.php,"May 30, 2025"
8,Research helps dual major forge path at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/research-helps-dual-major-forge-path-at-ksu.php,"May 30, 2025"
9,Student-led public relations agency at Kennesaw State finds success with client campaign work,https://www.kennesaw.edu/news/stories/2025/student-led-public-relations-agency-ksu-finds-success-client-campaign.php,"May 29, 2025"
10,KSU dancers selected to participate in prestigious summer workshops,https://www.kennesaw.edu/news/stories/2025/dancers-participate-prestigious-summer-workshops.php,"May 28, 2025"
1,Kennesaw State researchers develop phone application to combat elderly loneliness,https://www.kennesaw.edu/news/stories/2025/researchers-develop-app-combat-elderly-loneliness.php,"May 27, 2025"
2,Kennesaw State graduates latest cohort of the Paul Radow Scholars Program,https://www.kennesaw.edu/news/stories/2025/ksu-graduates-latest-cohort-paul-radow-scholars.php,"May 23, 2025"
3,Kennesaw State faculty member wins prestigious Art Directors Club award for creative excellence,https://www.kennesaw.edu/news/stories/2025/faculty-member-wins-art-directors-club-award.php,"May 22, 2025"
4,Kennesaw State researcher develops AI robot to aid farmers in fight against pests,https://www.kennesaw.edu/news/stories/2025/researcher-develops-ai-robot-aid-farmers-against-pests.php,"May 21, 2025"
5,Kennesaw State recognized for environmental stewardship,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-recognized-for-environmental-stewardship.php,"May 20, 2025"
6,Kennesaw State alum receives international scientific honor,https://www.kennesaw.edu/news/stories/2025/ksu-alum-recieves-international-scientific-honor.php,"May 19, 2025"
7,Kennesaw State men's team wins Conference USA Outdoor Championship,https://ksuowls.com/news/2025/5/19/mens-track-and-field-kennesaw-state-men-win-conference-usa-outdoor-championship.aspx,"May 19, 2025"
8,Parent and Family initiatives enhance sense of community at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/parent-and-family-initiatives-enhance-sense-of-community.php,"May 16, 2025"
9,Kennesaw State to launch Bachelor of Science in Aerospace Engineering degree program,https://www.kennesaw.edu/news/stories/2025/ksu-launch-bachelor-science-aerospace-engineering-program.php,"May 15, 2025"
10,Kennesaw State student wins marketing competition at international conference,https://www.kennesaw.edu/news/stories/2025/student-wins-marketing-competition-international-conference.php,"May 14, 2025"
1,Recent Kennesaw State architecture graduate named to Metropolis Future100 list,https://www.kennesaw.edu/news/stories/2025/architecture-graduate-named-metropolis-future-100-list.php,"May 13, 2025"
2,Kennesaw State researchers earn National Institutes of Health grant to address diabetic eye care via technology,https://www.kennesaw.edu/news/stories/2025/nih-grant-address-diabetic-eye-care-technology.php,"May 12, 2025"
3,'Dynamic Duo' impact exercise science through undergraduate research at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/dynamic-duo-impact-exercise-science-undergraduate-research.php,"May 08, 2025"
4,"Kennesaw State students, C-suite executives of Student Managed Investment Fund soon to begin finance careers",https://www.kennesaw.edu/news/stories/2025/executives-student-managed-investment-fund-begin-finance-careers.php,"May 07, 2025"
5,"Kennesaw State student, assistant principal sharpens educational leadership skills through doctoral program ",https://www.kennesaw.edu/news/stories/2025/student-sharpens-educational-leadership-skills-doctoral-program.php,"May 06, 2025"
6,Master's in robotics systems fulfills Kennesaw State online student's goal,https://www.kennesaw.edu/news/stories/2025/masters-robotics-systems-fulfills-online-student-goal.php,"May 05, 2025"
7,Honors biology student makes most of KSU experience,https://www.kennesaw.edu/news/stories/2025/honors-biology-student-makes-most-of-ksu-experience.php,"May 02, 2025"
8,College of Science and Mathematics recognizes faculty teaching excellence from 2024,https://www.kennesaw.edu/news/stories/2025/science-mathematics-recognizes-faculty-teaching-excellence.php,"May 01, 2025"
9,"Kennesaw State information technology student, Fulbright semifinalist chasing interest in cybersecurity",https://www.kennesaw.edu/news/stories/2025/information-technology-student-fulbright-interest-cybersecurity.php,"May 01, 2025"
10,Kennesaw State recognizes outstanding staff at annual awards ceremony,https://www.kennesaw.edu/news/stories/2025/ksu-recognizes-outstanding-staff-annual-awards.php,"April 30, 2025"
